EquivalentDiameters	AvgEulerAngles_0	AvgEulerAngles_1	AvgEulerAngles_2
8.136858	3.5548296	0.76583606	3.1933696
17.444319	5.9378381	0.38778585	0.51088053
14.048207	3.8332913	0.54863667	1.7252311
8.6672449	5.1559868	1.2829058	1.1347866
11.941643	5.5419755	0.96925211	0.7205469
10.464158	0.78691131	0.89004111	5.5119367
10.403142	3.6030974	0.33863965	2.4894373
11.283792	5.2776809	0.70927703	1.3321908
12.615663	1.5835737	0.55274224	4.2695193
11.055813	1.1474198	0.75555366	4.9125643
12.815924	0.19220726	0.74943024	5.5025907
10.09253	6.0169659	0.44745842	0.045288023
16.037281	4.9675751	0.42435533	1.8378347
17.661928	2.1218588	0.9161495	3.7991753
16.925688	3.4970787	1.0917193	2.6061289
10.704744	3.4900393	1.035354	2.3735764
17.589691	1.7369356	0.56801552	4.0892639
14.625465	5.8426867	0.68716049	0.055200003
14.969642	5.4601145	0.59127098	0.54176348
7.9788456	3.7279871	0.64247543	2.3316369
12.716187	2.5695202	0.53753173	4.3483229
11.396071	2.0418832	1.4015672	4.527987
9.5078917	4.8139205	0.83661062	1.2515591
14.538148	3.2587297	0.52566069	3.1368611
10.823032	2.7613742	0.67484105	3.4486456
8.136858	2.5556374	0.8904376	3.6975482
8.5190754	5.8273263	0.59258693	6.0802746
18.229523	3.4888251	0.73878455	3.0580611
16.076929	0.72171593	0.3475163	5.230299
9.7066851	0.15124305	0.91309929	5.9627309
14.668929	4.9874873	0.62078613	1.9616966
9.9655752	3.2017684	1.3200253	2.7041185
17.84124	0.51256245	0.92986232	5.7966337
18.609707	2.8484647	0.99455684	3.4598482
10.341766	1.058143	1.2231063	4.8005996
9.5078917	4.1626458	0.4317787	2.5577831
10.940042	5.4826074	0.89738464	0.51955736
10.029253	0.080009133	0.76527452	5.72823
8.058239	0.75768936	0.3312346	5.9847016
14.712265	4.8182659	0.7061885	1.3379097
12.815924	1.4311501	1.1773115	4.5767655
10.704744	5.3388653	0.12675487	1.3039941
11.72646	4.2138023	0.81678391	1.7672888
11.340071	0.2509129	0.60699171	5.6776681
9.8369818	1.0433522	0.5868324	4.6120911
9.7720499	0.38887185	0.68111724	5.5363445
7.9788456	5.4619341	0.66669238	1.1556073
8.4440165	5.6961875	0.34350535	0.81715935
8.4440165	4.7428398	0.65870285	2.2498517
19.149229	3.1777041	0.67800659	2.9287815
8.740387	0.51258767	0.47432542	5.2889495
14.183506	2.8627136	0.53599572	2.9787815
15.877702	0.072487257	1.2589444	6.2288594
11.396071	0.16338757	0.20276074	6.2142367
10.464158	2.0206649	0.84197462	3.8728099
8.9562321	4.5460868	1.3367318	1.8801392
13.110581	0.29210168	0.71335024	5.4671092
10.645108	1.1369432	1.4851109	5.1618586
10.940042	0.12757765	0.74814963	0.11703517
11.941643	0.48889336	1.331753	6.0435977
9.0270329	5.2735801	0.68808967	1.0927217
9.9655752	5.3297091	0.84111035	0.93537593
10.341766	2.8320262	0.77943629	3.238095
11.83454	5.7603655	1.0185258	0.52983737
9.5078917	0.91488743	0.69570935	5.8245444
10.881695	3.0374205	1.5065172	3.4878402
12.766152	3.8694997	1.2001193	2.5363839
9.5078917	5.2604356	0.59853345	1.5110632
9.7066851	3.989785	0.45377269	2.9244461
18.712051	2.2381306	0.88469875	4.0622263
8.2918596	0.18267214	0.48225039	0.0086973738
15.797308	2.6771257	0.58416957	4.0118742
8.6672449	1.9887258	0.79547924	4.1591544
11.941643	1.6729548	1.1558754	4.208549
11.170383	6.2603173	1.1054481	0.36572558
10.764051	3.0926831	0.78788203	3.4792838
11.055813	5.0849166	1.2345076	1.6918558
9.5078917	0.84802055	0.56544381	5.1626644
20.40464	6.1962366	0.25720033	5.6471229
9.166996	3.6298456	0.88878381	2.5692039
8.136858	3.0627124	1.3540764	3.2930861
9.3048534	5.1381917	0.91104919	1.6113163
14.361922	5.0794678	1.4735414	0.93021762
8.2918596	0.025593879	0.65044242	5.8088503
11.227231	1.5145411	0.15681466	4.5099955
11.780624	5.7670155	0.50058353	6.1082082
8.4440165	0.0598513	0.73890108	0.14881642
11.672045	3.0215149	0.77361703	3.6181483
16.468151	0.85682011	0.58530074	5.8720841
8.5934801	1.6965786	0.70153606	4.6562285
9.0972834	1.8690723	0.040354624	4.26267
20.310825	0.36528608	0.77353084	5.5274453
11.72646	1.7889676	0.72730148	4.1183662
11.170383	5.2865601	0.67700469	1.3043725
15.222668	5.1389141	0.68973672	1.0361503
9.3730211	3.9755125	0.65453869	2.8954456
10.029253	2.8681791	0.3852542	2.8147209
9.5746145	2.8365815	1.2419724	3.4579003
10.52482	0.21706718	0.76848823	0.15831389
11.113246	5.5239644	0.32336524	0.74748701
8.5934801	4.0317588	0.94417351	2.6198764
8.4440165	0.44301027	0.52885747	5.3359146
8.3682842	2.2654023	1.1988039	3.6926231
10.881695	0.89155889	1.0454669	5.5521622
10.155413	4.0188847	0.40932509	2.5346835
9.2361813	2.052923	0.74502909	4.85358
13.013103	1.3710605	0.47017586	4.5823288
12.91489	6.1218476	0.51838279	5.7179379
10.704744	1.0358649	0.462262	5.8197346
9.8369818	3.4572101	1.4159077	2.7655392
15.180789	2.0895219	0.98694551	4.4886708
9.5746145	0.93925869	0.64887613	4.7606292
15.347616	2.3885312	0.58266228	4.1643128
36.284016	2.1047747	0.42461029	4.815762
13.159049	2.8765938	0.20716172	3.0037313
16.312788	1.9642212	0.5902648	4.548193
9.3048534	4.3073025	0.51372689	2.1778708
12.360774	1.8015083	0.48884878	4.0179167
26.702326	3.9718792	0.43179932	2.1828778
10.881695	4.892725	0.10963921	1.281052
9.6408758	3.9624884	0.70858622	2.2212942
34.66898	2.3656969	0.59312713	4.3969584
15.756957	1.1176157	0.58055842	4.8285995
17.444319	1.0127655	1.2970556	5.4689288
8.9562321	2.6525176	0.56797814	3.7294481
10.280024	0.88220394	1.4246031	4.9899421
10.940042	4.55723	1.4146781	1.7728164
12.463355	4.348845	0.62482512	2.1123033
17.625845	2.6325746	0.54497778	4.1510396
9.7720499	0.30775931	1.0210203	0.18138447
9.0270329	2.033205	0.53428537	3.9831555
28.568279	5.4630275	0.77048373	1.2818928
11.617374	2.1426594	0.67283016	4.7966628
18.847649	2.1261132	0.62582868	3.8497725
8.6672449	0.61801183	1.0580112	6.1302314
8.8848667	2.438452	0.75043374	3.3100262
10.280024	0.51232719	0.25545362	5.2327127
8.740387	1.6131935	0.50714314	4.2018933
10.998079	0.6279878	1.2134498	5.7281904
10.029253	1.5670829	0.65593541	3.9404142
13.207339	4.1033726	0.52808923	1.5121125
15.716503	6.210937	0.6146813	5.7450471
13.398761	3.3073187	0.72800118	2.4906471
10.464158	0.57066756	1.0074211	5.6418076
9.8369818	1.2026117	0.82921976	5.2094626
13.493452	2.5270739	0.95545638	3.6680343
17.805523	6.2677226	0.54530138	5.898211
12.360774	2.9668834	0.95601314	3.2106221
11.562446	3.8337333	1.0123333	2.5494597
9.0270329	4.8817134	0.58297145	1.0501378
14.093451	0.50514746	0.85054398	5.7766709
8.136858	2.1479895	0.57187891	3.8749058
10.464158	1.4232471	0.24325722	4.6175961
9.3048534	0.41738269	1.5105201	5.8850112
11.562446	2.9057112	0.44059935	3.1487498
9.6408758	0.09567602	0.40860826	6.0058088
13.865755	6.2289848	0.22261199	0.81653887
9.0270329	0.93079072	0.49985695	4.8815517
9.9014874	5.926671	0.2956031	0.10838832
15.635281	5.8083086	1.225516	0.38395238
12.96409	5.533762	0.34361777	1.1751693
14.755472	5.2251267	0.34781298	0.43222281
10.645108	5.7216849	0.78746229	0.24850017
15.138795	6.0483313	1.5285959	6.1311889
8.136858	5.8469028	0.57044524	0.54245478
8.058239	2.5166712	0.9653874	4.1422787
15.675944	4.1050625	0.52623498	1.9497972
12.153015	1.7641597	0.66401124	5.0205202
10.09253	3.1660376	1.3714883	3.6319027
11.780624	1.0586435	0.7446866	4.9846826
8.2918596	4.6917095	0.52870142	1.6752573
10.464158	3.2385585	0.48514754	2.7307262
15.430353	2.048105	0.88536042	3.7859011
8.740387	3.3517826	1.5698171	3.0732434
8.058239	1.5985798	0.039854348	4.4188433
13.54055	5.8151889	0.60712224	0.81138313
10.998079	5.3085456	0.78617018	1.1401219
10.764051	4.1471848	0.33268937	1.8146787
8.2147245	1.4008712	0.76135463	4.9475174
8.5934801	2.6218591	0.78857577	3.4440012
9.3730211	5.1975441	0.38691008	0.66854328
9.0972834	2.3316031	0.70056164	3.2555075
8.6672449	4.5203094	0.12480006	1.7350976
13.493452	5.6870141	0.52195859	0.58546489
8.2918596	2.5208609	1.3523203	3.2610745
7.9788456	1.8541187	1.5204196	4.823081
8.2147245	5.5518746	0.67388058	1.1154581
17.297726	4.1430449	0.87476063	2.3285375
16.234549	3.8310645	0.66471457	2.7112885
9.2361813	4.4742694	0.64471281	1.9598017
19.446135	2.2637534	0.31043246	4.4629502
10.823032	3.2355506	0.38198432	2.6239359
11.562446	3.8034599	1.5446032	2.7406218
10.09253	5.4416356	0.76943946	0.68589616
11.617374	2.8755534	0.61395097	3.064981
12.565099	3.2326064	0.37197423	2.4831214
8.136858	2.7429426	0.7521435	3.0674155
8.136858	0.13290147	1.4545773	0.024605036
14.884344	3.2681217	0.7087782	3.2176166
15.756957	5.6720338	0.45231518	0.1838209
8.4440165	5.9025049	0.45225558	6.0582237
16.698486	4.6492734	1.4258922	1.4378132
8.5934801	0.68543369	0.50112396	5.9729047
13.493452	1.3089399	0.67643702	5.2830644
8.4440165	3.4983273	0.66436249	3.4105806
8.4440165	0.65988743	0.5136627	5.2564297
8.6672449	5.9301295	0.46528316	0.73826557
10.217908	1.9648757	0.51417547	4.3661857
11.562446	1.9169846	0.4719325	4.4324284
11.941643	4.7974644	0.49667722	1.1096228
12.716187	3.8509128	1.2731798	2.4822826
12.257335	1.6929679	0.6633504	5.0457435
10.403142	2.285919	0.52100819	3.877522
8.8848667	0.99749446	0.80975133	5.6877646
9.7066851	4.2155833	0.27204645	1.5890082
9.6408758	2.0714636	0.63023078	3.5267408
11.507255	5.3683023	0.49995863	0.66090137
7.9788456	3.3686373	0.27011588	2.4761262
11.941643	5.6756868	1.5624304	0.61656058
10.52482	4.4159513	0.78603303	2.3990765
12.205287	3.0450246	0.82354665	2.9407587
14.841511	2.0527372	0.42430627	4.235785
8.5190754	2.0105546	0.52272803	4.2919121
12.51433	4.2900624	1.102854	1.8152432
15.222668	0.7342217	0.32229829	5.3514032
17.407785	2.0135653	0.74833882	4.5919957
9.3048534	5.8696542	0.64748091	0.56328064
10.823032	2.6433899	0.76541501	3.444216
11.283792	2.1818495	0.51315844	4.0280542
16.622063	2.1528273	0.67153311	4.7835569
19.182446	5.7112112	0.51321298	0.53365022
12.205287	1.0516804	0.16046022	5.0348454
18.746042	1.7041476	0.4034048	3.9812551
12.815924	2.6298058	0.19596411	3.097662
16.273716	4.6130352	0.17629729	1.4399954
21.349936	2.2165439	0.60344356	3.5898221
22.95912	2.52703	1.5654098	4.0817347
8.5934801	4.8847365	0.44695455	1.9207773
12.91489	5.7679381	0.5664624	0.99597585
9.5746145	3.4277475	0.65553451	2.2185884
9.0972834	4.3271136	0.71276653	2.4442754
9.7066851	6.0795345	1.0438467	0.45562729
10.280024	5.7621789	0.38119888	0.13061602
10.464158	3.2152677	1.455034	3.4546633
10.403142	5.2756667	0.70658106	1.3333946
11.113246	4.1425853	0.49695832	2.8378658
10.940042	4.3468614	0.43297014	1.8102895
17.000748	5.5101027	0.11078566	0.55137599
8.5190754	0.12691543	0.71938705	0.40860653
11.780624	4.4787889	0.44880965	2.3628187
9.5746145	3.5429416	0.69311672	3.4911196
9.3730211	5.2132759	1.1057466	1.1691734
9.2361813	4.2064204	0.5784514	2.5361121
23.152405	4.6384177	0.61525846	1.2096462
8.5190754	2.1722171	0.71053338	4.8759875
13.013103	5.8890915	0.49057925	0.61293912
7.9788456	5.3366761	0.50089765	0.48580769
10.645108	4.1720901	0.90975565	2.3072772
12.766152	5.6135526	0.53319788	0.13900557
11.227231	4.4994793	0.77512163	1.7729604
9.7720499	3.4096134	1.1234126	3.0268717
20.498026	2.1077721	0.6376065	3.7275329
18.472363	1.0964916	0.98864329	5.2507043
8.8129225	5.4907889	0.64746755	0.23885818
11.396071	4.1968074	0.76882142	2.1858368
13.493452	4.6360793	0.20634846	0.90283746
19.5441	4.3757486	0.014984949	2.0073304
19.182446	4.7968268	0.41063631	2.1566045
11.941643	5.1916938	0.52285671	1.1457876
12.865501	0.80842501	0.4055981	6.0473185
9.8369818	0.64532542	0.71738857	5.7571678
12.153015	2.2620981	0.24231766	4.7627749
9.3048534	6.2335544	0.23923114	0.11168005
8.3682842	1.9050018	0.43323317	4.5896926
13.351163	4.2316947	0.80534357	2.0778306
11.283792	3.4538383	0.82639718	2.7933764
8.9562321	4.4683847	0.65021449	1.3789487
8.9562321	1.6946734	0.7445612	5.2623167
11.72646	3.51211	0.58162528	3.4044449
14.538148	0.46211264	0.5974828	0.11239738
12.615663	1.1083065	0.93863946	5.5577469
10.645108	3.4129353	0.5132159	2.1003144
17.038151	3.5327744	0.4593783	3.3267417
13.727325	0.70794219	0.80288774	4.8646631
8.9562321	4.6342564	0.57308334	1.3087466
8.5190754	1.3781574	1.5710701	4.9513807
10.52482	0.51182842	0.8114379	5.9357576
16.429449	2.4098928	0.79724199	4.3184924
10.704744	1.210988	0.65778387	5.0840011
33.587055	5.5683217	1.456504	0.60822654
18.712051	0.83027393	0.62165982	5.7352424
11.055813	3.198405	0.71893257	3.3256621
7.9788456	4.5039778	0.80318177	1.9327297
20.928316	1.0421842	0.40830445	5.0929546
10.52482	2.8493135	1.3750237	3.0473189
8.4440165	1.6383061	0.72614706	4.4031658
9.3048534	0.88823372	0.55628407	5.2741261
10.52482	6.0185518	0.32622489	0.78966373
11.562446	5.7038736	0.58015448	1.0742829
9.0972834	6.2739434	0.91516906	5.9714332
7.9788456	2.8076596	1.4586993	3.4404061
12.100518	2.3409369	0.84702164	3.633095
9.3048534	3.3830705	0.84525388	2.3453844
11.83454	1.2902728	0.35164326	4.3621693
10.881695	6.14257	0.41765654	5.9605608
8.2147245	1.2409364	0.81434363	5.4830546
11.113246	4.6373377	0.47630054	0.93121272
12.205287	5.2730703	0.52586472	0.54292834
10.52482	5.0929818	0.22520281	1.7124056
10.403142	1.7196064	0.46210051	4.585444
13.911592	2.1995728	0.36481169	3.6769207
10.280024	1.8160431	1.0825608	4.5728316
11.113246	1.3721927	0.66159844	4.2032127
12.96409	4.037734	0.579638	1.6298366
8.740387	1.4928682	1.1930664	4.6526909
8.8848667	1.164848	0.6188944	4.4596982
15.957691	5.3337507	0.93552297	0.70521444
13.493452	5.5510774	1.1641166	1.2220186
8.6672449	2.805553	0.73618853	3.1478567
11.72646	2.3635488	0.70235735	3.64148
12.766152	5.1974339	0.48098028	1.3332883
19.215605	4.7746787	0.76282173	1.3044406
7.9788456	5.2589154	1.5174146	0.61126941
10.940042	2.5046465	0.61860859	3.9117184
8.740387	5.7220516	0.13602893	1.0100504
8.4440165	2.8013628	0.79408503	3.9711778
9.5078917	1.4470776	0.26256901	5.0018325
8.6672449	0.4539187	0.068539567	6.1405039
9.5078917	3.359726	0.28547758	3.2856886
9.8369818	2.8937683	0.51573306	3.3233829
15.30608	2.2968643	0.24511272	4.3126798
15.347616	4.9098783	0.52099591	2.1209457
10.217908	3.0008893	1.1191941	3.7945244
9.7066851	1.0304703	0.69638598	5.6231475
8.740387	2.4056802	0.67808264	3.2125876
16.468151	3.6150556	0.59061009	2.6215167
9.8369818	3.9116576	1.1256303	1.9774864
12.100518	1.4216994	0.4393397	4.6613588
13.303394	0.16407335	0.37253782	0.033366945
13.68087	3.0159643	0.56205887	3.7354038
8.6672449	0.054882631	0.74877757	0.15665725
27.570347	3.3677967	0.47099388	2.9252338
11.994835	4.4571686	1.0191369	2.1676781
9.3048534	2.6441703	0.52585399	4.0685387
10.280024	3.6754849	0.27147174	2.4017189
11.170383	6.1339469	0.072124153	6.1527514
13.013103	0.72731495	0.73498809	4.9831643
14.668929	0.97090918	0.77557564	5.8679786
10.764051	3.3222506	1.0905143	2.7412772
11.340071	1.0058291	0.80443811	5.6814108
14.048207	3.6424787	0.72393531	2.8410723
10.217908	5.8414588	0.74758202	0.62463987
8.8129225	1.4726019	0.41987792	4.6088319
20.153496	5.6572638	0.46512377	6.2366076
9.8369818	3.0721848	0.075967528	3.4264791
8.740387	0.97254461	0.65758651	5.927927
9.166996	1.4351485	1.5200615	4.8027101
15.957691	1.9022903	0.54366463	4.3637543
10.217908	4.0402708	1.5787306	2.5501566
9.166996	5.9112859	0.26130238	1.0585998
11.340071	5.6204786	0.93165135	0.54004771
15.471556	0.072197966	1.3184055	0.44352108
8.4440165	4.1534638	0.69237918	2.1446106
10.940042	2.3718417	0.46303493	4.2887039
10.029253	0.58052874	0.87918806	5.6246071
10.464158	1.8033352	0.57824516	4.0967283
12.766152	2.8840809	0.56449664	3.9947166
12.96409	3.552243	0.68047768	2.0569403
9.5746145	2.4735734	0.46050626	3.1560192
11.055813	1.4851357	0.13590799	4.8955245
14.538148	6.2123427	0.51870561	0.7339502
9.9655752	3.3188059	1.0914218	2.7432859
15.957691	1.4912826	0.54072982	4.6095963
9.8369818	1.5970973	0.49106169	4.7444592
17.223961	2.4029598	0.47616875	4.3632751
13.493452	1.6634101	0.7687487	4.5573325
8.9562321	0.40250513	0.24292292	5.2720909
15.997536	0.3858788	0.86252588	5.5513201
10.585135	2.348304	1.2905587	4.3811941
11.055813	4.1640267	0.49092832	1.8915312
11.888212	0.30592114	0.53357983	5.8128552
18.813841	5.9709854	0.078465283	5.9957709
11.672045	1.1081352	0.48393413	5.6503487
10.217908	0.88876402	0.4443157	4.7043719
11.170383	2.3921061	0.64564043	3.7656827
10.280024	2.8176396	1.4463849	3.628592
10.881695	1.8407153	0.57144576	3.8413999
11.227231	5.3639064	0.70684344	1.4050364
12.463355	1.7865088	0.5519228	4.1235933
10.155413	5.7531695	0.66041386	1.1029063
9.5078917	5.822124	0.38446537	1.2012841
8.3682842	3.467037	0.80959892	2.410368
11.617374	0.13064197	1.2668304	6.1614103
15.716503	2.6467612	1.5286444	4.0214577
17.000748	0.51838309	0.63486993	5.7553277
10.280024	2.9913497	1.1255279	3.3457851
10.217908	1.0621821	0.89299959	5.4783912
10.998079	5.3701572	0.52871114	1.1133053
11.055813	4.1012154	0.59080714	1.746832
13.819766	4.328516	0.43603691	1.8233738
8.136858	1.6152509	1.1223973	4.2588849
11.83454	3.0640855	0.45561856	3.6625259
8.2147245	2.9863791	0.61408252	3.5541072
12.615663	0.8425824	0.67090648	6.2149677
9.6408758	3.624845	0.67588955	3.3131714
16.583719	5.316597	0.12474048	1.325556
10.823032	4.9510732	1.2637124	0.93036443
15.222668	2.1449211	0.77451658	4.1698017
17.553461	3.2361276	1.1090713	2.8091781
8.6672449	0.061541501	1.4609832	0.34061527
10.52482	2.6891367	0.68954575	2.8399115
7.9788456	3.8433545	1.2669573	2.1551886
11.617374	5.6678038	0.75915468	0.51346588
9.9014874	2.6146114	0.81525552	3.7288384
7.9788456	5.2814546	0.30019554	0.65160924
12.463355	4.129529	0.67149466	1.9070762
8.4440165	4.3189712	0.56396657	1.2180544
7.9788456	4.0565758	0.38489974	1.795628
7.9788456	3.9183583	0.91059822	2.3016508
10.029253	5.2078462	1.257033	0.98282057
13.68087	1.6453772	0.74917454	5.2771335
15.222668	0.85288221	1.1682574	5.3702726
8.2918596	3.5511646	1.291223	2.4117715
9.7720499	0.3066023	0.80073982	5.9998083
11.888212	0.44212672	0.83318967	6.0899301
9.3048534	1.9820001	1.0969255	4.4562883
9.166996	6.0763221	0.80167967	0.66095698
12.463355	4.8264318	0.51474649	1.6124319
12.51433	0.25447446	0.35354948	5.2935739
11.055813	0.59928924	1.4663275	5.6673923
13.911592	0.67584109	0.67912573	5.8959169
14.884344	1.4149053	1.1660337	4.7503948
15.471556	2.6823227	0.62208378	3.7392905
10.823032	3.6817334	0.31652367	2.5439806
8.5190754	4.18084	1.4103322	1.8460275
11.83454	5.1349845	0.40298721	1.8486376
10.029253	0.2063961	0.5056017	5.6405249
10.52482	5.516428	0.30018407	1.0033858
12.865501	5.1221485	0.49412388	0.73319989
9.8369818	4.9320865	0.46799815	1.1426303
13.398761	2.833961	1.2473848	3.4800773
13.398761	2.8986449	0.88894272	3.1354566
15.347616	2.8211167	0.62695992	3.8106329
14.668929	3.6241875	0.67347252	3.3121848
9.4406977	3.8159194	0.32044727	2.3375261
8.8129225	5.1139822	0.10285351	1.4649099
7.9788456	5.0826254	0.70724326	1.8211783
15.997536	2.9236226	0.60236108	3.4227605
9.9655752	0.0070867264	0.51890403	0.014235842
12.815924	3.5694089	1.0467565	2.6652899
13.911592	5.5194845	0.4750154	1.3943148
14.361922	3.9175892	0.6614098	3.2705154
16.774561	4.1755505	0.67630857	2.2073245
10.585135	4.2308049	0.71465743	1.9924955
9.7066851	4.4384918	0.82702786	2.0909548
9.9655752	0.24353611	0.86365294	5.4327621
